FBID,female_narrow_heritability,male_narrow_heritability
FBgn0000629,0.000,0.093
FBgn0000633,0.090,0.001
FBgn0000635,0.407,0.286
FBgn0000636,0.193,0.299
FBgn0000639,0.000,0.164
FBgn0000640,0.000,0.019
FBgn0000644,0.216,0.066
FBgn0000658,0.250,0.013
FBgn0000659,0.236,0.173
FBgn0000662,0.187,0.367
FBgn0000667,0.376,0.201
FBgn0000709,0.158,0.121
FBgn0000711,0.120,0.045
FBgn0000715,0.126,0.225
FBgn0000719,0.491,0.113
FBgn0000721,0.213,0.464
FBgn0000723,0.338,0.230
FBgn0000808,0.000,0.000
FBgn0000810,0.231,0.133
FBgn0000826,0.042,0.091
FBgn0000927,0.221,0.000
FBgn0000928,0.000,0.013
FBgn0000964,0.354,0.111
FBgn0000996,0.162,0.000
FBgn0001075,0.101,0.354
FBgn0001077,0.000,0.000
FBgn0001078,0.118,0.005
FBgn0001079,0.149,0.000
FBgn0001083,0.063,0.126
FBgn0001084,0.110,0.009
FBgn0001085,0.334,0.100
FBgn0001086,0.249,0.156
FBgn0001087,0.064,0.000
FBgn0001089,0.068,0.161
FBgn0001090,0.327,0.089
FBgn0001091,0.331,0.318
FBgn0001092,0.225,0.321
FBgn0001098,0.512,0.388
FBgn0001104,0.112,0.075
FBgn0001105,0.113,0.060
FBgn0001108,0.207,0.401
FBgn0001112,0.118,0.705
FBgn0001114,0.388,0.269
FBgn0001120,0.068,0.000
FBgn0001122,0.037,0.030
FBgn0001123,0.078,0.099
FBgn0001124,0.263,0.256
FBgn0001125,0.078,0.355
FBgn0001128,0.497,0.442
FBgn0001133,0.058,0.053
FBgn0001134,0.000,0.152
FBgn0001137,0.148,0.250
FBgn0001138,0.000,0.000
FBgn0001139,0.057,0.046
FBgn0001142,0.592,0.531
FBgn0001145,0.395,0.342
FBgn0001147,0.019,0.129
FBgn0001148,0.000,0.000
FBgn0001149,0.908,0.912
FBgn0001150,0.000,0.000
FBgn0001168,0.142,0.060
FBgn0001169,0.038,0.018
FBgn0001170,0.091,0.007
FBgn0001174,0.091,0.000
FBgn0001179,0.241,0.249
FBgn0001180,0.073,0.000
FBgn0001185,0.013,0.030
FBgn0001186,0.136,0.241
FBgn0001187,0.046,0.119
FBgn0001189,0.253,0.104
FBgn0001197,0.193,0.027
FBgn0001202,0.000,0.000
FBgn0001206,0.058,0.000
FBgn0001208,0.272,0.307
FBgn0001215,0.344,0.322
FBgn0001216,0.237,0.373
FBgn0001217,0.500,0.449
FBgn0001218,0.100,0.356
FBgn0001219,0.146,0.165
FBgn0001220,0.147,0.135
FBgn0001222,0.081,0.000
FBgn0001223,0.367,0.435
FBgn0001224,0.513,0.338
FBgn0001225,0.794,0.247
FBgn0001226,0.543,0.225
FBgn0001227,0.000,0.009
FBgn0001228,0.000,0.297
FBgn0001229,0.000,0.000
FBgn0001230,0.031,0.030
FBgn0001233,0.175,0.010
FBgn0001234,0.614,0.616
FBgn0001247,0.021,0.055
FBgn0001248,0.044,0.178
FBgn0001250,0.404,0.258
FBgn0001253,0.000,0.000
FBgn0001254,0.000,0.032
FBgn0001255,0.149,0.000
FBgn0001256,0.000,0.000
FBgn0001257,0.389,0.286
FBgn0001258,0.145,0.150
FBgn0001259,0.000,0.068
FBgn0001263,0.246,0.005
FBgn0001269,0.003,0.221
FBgn0001276,0.000,0.000
FBgn0001280,0.121,0.171
FBgn0001281,0.007,0.053
FBgn0001285,0.604,0.670
