"block","line","early.male.rival","early.male.focal","late.male.rival","late.male.focal","num.GFP.males","vial"
"A3","line_502",20,73,12,5,4,"M_502_A3_1"
"A3","line_502",58,53,23,48,5,"M_502_A3_2"
"A3","line_502",60,49,37,30,3,"M_502_A3_3"
"A3","line_502",48,57,0,0,4,"M_502_A3_4"
"A3","line_502",102,40,4,9,3,"M_502_A3_5"
"A3","line_502",86,61,12,47,2,"M_502_A3_6"
"A3","line_707",25,42,12,76,7,"M_707_A3_1"
"A3","line_707",39,95,18,7,4,"M_707_A3_2"
"A3","line_707",51,49,11,0,5,"M_707_A3_3"
"A3","line_707",55,25,58,12,6,"M_707_A3_4"
"A3","line_707",39,29,67,0,5,"M_707_A3_5"
"A3","line_707",48,41,34,3,5,"M_707_A3_6"
"A3","line_91",77,14,50,0,6,"M_91_A3_1"
"A3","line_91",45,43,50,0,4,"M_91_A3_2"
"A3","line_91",54,38,50,0,5,"M_91_A3_3"
"A3","line_91",80,39,24,39,6,"M_91_A3_4"
"A3","line_91",44,28,29,3,3,"M_91_A3_5"
"A3","line_91",18,58,37,35,7,"M_91_A3_6"
"A4","line_142",16,115,2,9,2,"M_142_A4_1"
"A4","line_142",46,36,10,0,6,"M_142_A4_2"
"A4","line_142",54,29,14,5,5,"M_142_A4_3"
"A4","line_142",33,27,37,2,13,"M_142_A4_4"
"A4","line_142",16,25,0,0,1,"M_142_A4_5"
"A4","line_142",21,25,28,2,7,"M_142_A4_6"
"A4","line_332",31,4,9,3,7,"M_332_A4_1"
"A4","line_332",52,21,0,2,9,"M_332_A4_2"
"A4","line_332",17,24,8,4,8,"M_332_A4_3"
"A4","line_332",31,9,0,0,10,"M_332_A4_4"
"A4","line_332",18,20,0,0,9,"M_332_A4_5"
"A4","line_332",7,4,3,0,8,"M_332_A4_6"
"A4","line_352",21,17,14,4,9,"M_352_A4_1"
"A4","line_352",10,17,32,0,7,"M_352_A4_2"
"A4","line_352",8,48,20,6,5,"M_352_A4_3"
"A4","line_352",25,44,13,3,8,"M_352_A4_4"
"A4","line_352",2,62,12,0,8,"M_352_A4_5"
"A4","line_352",23,51,25,0,8,"M_352_A4_6"
"A4","line_357",31,38,50,0,5,"M_357_A4_1"
"A4","line_357",36,20,0,1,6,"M_357_A4_2"
"A4","line_357",24,37,1,1,8,"M_357_A4_3"
"A4","line_357",37,26,5,1,7,"M_357_A4_4"
"A4","line_357",6,1,19,0,6,"M_357_A4_5"
"A4","line_357",19,4,0,0,9,"M_357_A4_6"
"A4","line_362",0,17,16,11,8,"M_362_A4_1"
"A4","line_362",0,42,13,6,4,"M_362_A4_2"
"A4","line_362",9,7,7,19,9,"M_362_A4_3"
"A4","line_362",8,41,12,0,8,"M_362_A4_4"
"A4","line_362",9,22,3,1,8,"M_362_A4_5"
"A4","line_362",19,9,5,17,9,"M_362_A4_6"
"A4","line_371",5,24,0,0,4,"M_371_A4_1"
"A4","line_371",13,31,2,0,9,"M_371_A4_2"
"A4","line_371",7,25,8,0,7,"M_371_A4_3"
"A4","line_371",2,22,2,2,7,"M_371_A4_4"
"A4","line_371",11,66,3,1,9,"M_371_A4_5"
"A4","line_371",2,17,0,0,3,"M_371_A4_6"
"A4","line_383",39,28,29,12,10,"M_383_A4_1"
"A4","line_383",43,48,50,0,9,"M_383_A4_2"
"A4","line_383",7,30,26,32,8,"M_383_A4_3"
"A4","line_383",19,14,10,5,8,"M_383_A4_4"
"A4","line_383",9,24,30,3,7,"M_383_A4_5"
"A4","line_383",6,36,28,2,8,"M_383_A4_6"
"A4","line_395",28,72,7,16,10,"M_395_A4_1"
"A4","line_395",0,69,11,15,7,"M_395_A4_2"
"A4","line_395",6,16,6,3,8,"M_395_A4_3"
"A4","line_395",33,53,7,18,4,"M_395_A4_4"
"A4","line_395",50,39,6,10,9,"M_395_A4_5"
"A4","line_395",17,32,1,4,8,"M_395_A4_6"
"A4","line_439",22,57,1,0,4,"M_439_A4_1"
"A4","line_439",9,15,1,0,1,"M_439_A4_2"
"A4","line_439",33,10,0,0,9,"M_439_A4_3"
"A4","line_439",5,33,0,0,7,"M_439_A4_4"
"A4","line_439",16,17,3,1,7,"M_439_A4_5"
"A4","line_439",16,13,27,0,10,"M_439_A4_6"
"A4","line_59",15,66,0,7,9,"M_59_A4_1"
"A4","line_59",17,31,1,16,5,"M_59_A4_2"
"A4","line_59",19,25,3,2,8,"M_59_A4_3"
"A4","line_59",7,25,9,14,8,"M_59_A4_4"
"A4","line_59",11,50,5,10,7,"M_59_A4_5"
"A4","line_59",6,20,50,0,8,"M_59_A4_6"
"A4","line_705",17,31,8,5,10,"M_705_A4_1"
"A4","line_705",35,41,2,2,8,"M_705_A4_2"
"A4","line_705",25,21,4,2,8,"M_705_A4_3"
"A4","line_705",19,27,0,0,4,"M_705_A4_4"
"A4","line_705",15,30,1,0,8,"M_705_A4_5"
"A4","line_705",25,27,4,2,8,"M_705_A4_6"
"A4","line_832",40,19,1,0,8,"M_832_A4_1"
"A4","line_832",14,12,50,0,10,"M_832_A4_2"
"A4","line_832",33,6,5,0,5,"M_832_A4_3"
"A4","line_832",12,25,2,0,8,"M_832_A4_4"
"A4","line_832",54,5,1,0,4,"M_832_A4_5"
"A4","line_832",33,25,0,0,8,"M_832_A4_6"
"B1","line_352",12,146,1,37,9,"M_352_B1_1"
