"block","line","early.male.rival","early.male.focal","late.male.rival","late.male.focal","num.GFP.males","vial"
"C1","line_176",79,26,42,1,9,"M_176_C1_3"
"C1","line_176",104,78,50,0,10,"M_176_C1_4"
"C1","line_176",116,59,50,0,7,"M_176_C1_5"
"C1","line_176",116,101,50,0,7,"M_176_C1_6"
"C1","line_217",106,114,63,74,6,"M_217_C1_1"
"C1","line_217",49,83,135,109,7,"M_217_C1_2"
"C1","line_217",73,72,36,11,8,"M_217_C1_3"
"C1","line_217",32,128,13,4,6,"M_217_C1_4"
"C1","line_217",71,104,49,15,9,"M_217_C1_5"
"C1","line_217",44,151,20,41,10,"M_217_C1_6"
"C1","line_229",74,56,72,19,8,"M_229_C1_1"
"C1","line_229",59,37,102,10,7,"M_229_C1_2"
"C1","line_229",84,92,59,7,8,"M_229_C1_3"
"C1","line_229",69,146,42,30,10,"M_229_C1_4"
"C1","line_229",89,33,30,16,8,"M_229_C1_5"
"C1","line_229",76,52,48,60,9,"M_229_C1_6"
"C1","line_280",41,86,0,0,7,"M_280_C1_1"
"C1","line_280",54,41,33,0,9,"M_280_C1_2"
"C1","line_280",52,101,95,32,8,"M_280_C1_3"
"C1","line_280",59,70,31,5,8,"M_280_C1_4"
"C1","line_280",94,47,15,13,10,"M_280_C1_5"
"C1","line_280",155,87,71,11,9,"M_280_C1_6"
"C1","line_307",52,123,6,0,5,"M_307_C1_1"
"C1","line_307",24,80,102,4,8,"M_307_C1_2"
"C1","line_307",98,123,63,12,10,"M_307_C1_3"
"C1","line_307",5,91,82,6,9,"M_307_C1_4"
"C1","line_307",48,115,32,30,8,"M_307_C1_5"
"C1","line_307",24,110,4,6,9,"M_307_C1_6"
"C1","line_352",29,150,41,14,8,"M_352_C1_1"
"C1","line_352",79,41,90,2,9,"M_352_C1_2"
"C1","line_352",39,118,19,28,9,"M_352_C1_3"
"C1","line_352",8,191,36,46,8,"M_352_C1_4"
"C1","line_352",19,188,22,53,9,"M_352_C1_5"
"C1","line_352",34,99,15,44,10,"M_352_C1_6"
"C1","line_405",21,126,74,33,6,"M_405_C1_1"
"C1","line_405",93,135,90,9,8,"M_405_C1_2"
"C1","line_405",21,123,0,0,9,"M_405_C1_3"
"C1","line_405",19,94,8,6,9,"M_405_C1_4"
"C1","line_405",24,107,75,19,8,"M_405_C1_5"
"C1","line_405",58,137,16,44,10,"M_405_C1_6"
"C1","line_440",27,164,34,58,8,"M_440_C1_1"
"C1","line_440",19,83,100,50,8,"M_440_C1_2"
"C1","line_440",41,137,49,69,9,"M_440_C1_3"
"C1","line_440",36,176,46,39,10,"M_440_C1_4"
"C1","line_440",44,124,13,131,6,"M_440_C1_5"
"C1","line_440",36,156,9,95,8,"M_440_C1_6"
"C1","line_45",89,72,63,2,9,"M_45_C1_1"
"C1","line_45",92,119,52,12,9,"M_45_C1_2"
"C1","line_45",115,83,90,5,7,"M_45_C1_3"
"C1","line_45",72,113,86,0,10,"M_45_C1_4"
"C1","line_45",47,146,52,4,10,"M_45_C1_5"
"C1","line_45",42,169,28,4,8,"M_45_C1_6"
"C1","line_486",42,117,31,77,9,"M_486_C1_1"
"C1","line_486",53,84,8,59,8,"M_486_C1_2"
"C1","line_486",21,101,37,20,10,"M_486_C1_3"
"C1","line_486",39,63,11,44,8,"M_486_C1_4"
"C1","line_486",2,104,1,31,8,"M_486_C1_5"
"C1","line_486",15,231,4,36,7,"M_486_C1_6"
"C2","line_208",46,34,13,16,7,"M_208_C2_1"
"C2","line_208",84,89,34,36,7,"M_208_C2_2"
"C2","line_208",42,106,8,28,2,"M_208_C2_3"
"C2","line_208",65,82,4,28,3,"M_208_C2_4"
"C2","line_208",42,74,12,5,7,"M_208_C2_5"
"C2","line_208",74,55,22,3,5,"M_208_C2_6"
"C2","line_21",104,58,33,32,8,"M_21_C2_1"
"C2","line_21",26,13,32,10,7,"M_21_C2_2"
"C2","line_21",74,7,50,0,5,"M_21_C2_3"
"C2","line_21",48,38,2,18,9,"M_21_C2_4"
"C2","line_21",72,32,2,0,7,"M_21_C2_5"
"C2","line_21",69,61,0,0,7,"M_21_C2_6"
"C2","line_228",140,15,7,1,4,"M_228_C2_1"
"C2","line_228",109,0,54,0,9,"M_228_C2_2"
"C2","line_228",35,110,21,0,2,"M_228_C2_3"
"C2","line_228",138,90,62,0,3,"M_228_C2_4"
"C2","line_228",105,39,73,4,6,"M_228_C2_5"
"C2","line_228",63,78,33,16,7,"M_228_C2_6"
"C2","line_235",31,65,11,0,6,"M_235_C2_1"
"C2","line_235",54,48,17,35,3,"M_235_C2_2"
"C2","line_235",90,66,32,21,6,"M_235_C2_3"
"C2","line_235",39,90,35,66,4,"M_235_C2_4"
"C2","line_235",81,87,34,21,6,"M_235_C2_5"
"C2","line_235",48,82,37,56,7,"M_235_C2_6"
"C2","line_237",58,51,2,23,8,"M_237_C2_1"
"C2","line_237",48,43,13,3,6,"M_237_C2_2"
"C2","line_237",104,18,45,0,8,"M_237_C2_3"
"C2","line_237",107,51,37,27,6,"M_237_C2_4"
"C2","line_237",79,87,102,10,5,"M_237_C2_5"
"C2","line_237",19,74,133,43,7,"M_237_C2_6"
"C2","line_239",84,26,50,0,6,"M_239_C2_1"
"C2","line_239",118,50,47,1,7,"M_239_C2_2"
"C2","line_239",111,46,57,0,5,"M_239_C2_3"
"C2","line_239",108,47,10,1,6,"M_239_C2_4"
"C2","line_239",116,37,2,0,8,"M_239_C2_5"
"C2","line_239",66,35,36,1,9,"M_239_C2_6"
"C2","line_26",94,2,50,0,6,"M_26_C2_1"
"C2","line_26",81,28,50,0,7,"M_26_C2_2"
"C2","line_26",85,83,50,0,7,"M_26_C2_3"
"C2","line_26",111,20,50,0,6,"M_26_C2_4"
"C2","line_26",77,54,17,0,6,"M_26_C2_5"
"C2","line_26",84,19,50,0,7,"M_26_C2_6"
"C2","line_301",57,48,90,0,8,"M_301_C2_1"
"C2","line_301",7,58,42,14,7,"M_301_C2_2"
"C2","line_301",33,54,2,0,8,"M_301_C2_3"
"C2","line_301",25,109,16,2,9,"M_301_C2_4"
"C2","line_301",35,55,22,11,9,"M_301_C2_5"
"C2","line_301",32,80,74,52,8,"M_301_C2_6"
"C2","line_306",101,19,90,0,5,"M_306_C2_1"
"C2","line_306",100,45,42,2,7,"M_306_C2_2"
"C2","line_306",101,64,2,0,7,"M_306_C2_3"
"C2","line_306",141,10,16,16,7,"M_306_C2_4"
"C2","line_306",107,14,22,2,7,"M_306_C2_5"
"C2","line_306",70,31,11,26,6,"M_306_C2_6"
"C2","line_313",61,48,56,0,4,"M_313_C2_1"
"C2","line_313",45,86,3,21,4,"M_313_C2_2"
"C2","line_313",68,69,12,125,3,"M_313_C2_3"
"C2","line_313",75,37,5,23,4,"M_313_C2_4"
"C2","line_313",85,79,11,37,6,"M_313_C2_5"
"C2","line_313",51,54,166,56,8,"M_313_C2_6"
"C2","line_324",43,72,19,9,5,"M_324_C2_1"
"C2","line_324",72,58,33,8,6,"M_324_C2_2"
"C2","line_324",27,104,4,26,2,"M_324_C2_3"
"C2","line_324",35,69,44,35,4,"M_324_C2_4"
"C2","line_324",42,58,8,35,7,"M_324_C2_5"
"C2","line_324",39,55,21,139,5,"M_324_C2_6"
"C2","line_352",64,71,40,1,5,"M_352_C2_1"
"C2","line_352",61,35,71,0,7,"M_352_C2_2"
"C2","line_352",79,40,4,1,4,"M_352_C2_3"
"C2","line_352",82,50,50,0,4,"M_352_C2_4"
"C2","line_352",21,70,39,3,5,"M_352_C2_5"
"C2","line_352",37,53,114,8,6,"M_352_C2_6"
"C2","line_373",49,61,0,0,5,"M_373_C2_1"
"C2","line_373",93,40,0,3,5,"M_373_C2_2"
"C2","line_373",115,27,42,0,6,"M_373_C2_3"
"C2","line_373",105,74,76,2,6,"M_373_C2_4"
"C2","line_373",78,28,12,0,6,"M_373_C2_5"
"C2","line_373",73,28,81,6,4,"M_373_C2_6"
"C2","line_375",69,33,7,1,6,"M_375_C2_1"
"C2","line_375",81,93,0,0,7,"M_375_C2_2"
"C2","line_375",80,66,5,2,3,"M_375_C2_3"
"C2","line_375",73,75,41,7,6,"M_375_C2_4"
"C2","line_375",71,81,87,51,5,"M_375_C2_5"
"C2","line_375",26,83,21,44,8,"M_375_C2_6"
"C2","line_399",42,88,32,3,7,"M_399_C2_1"
"C2","line_399",34,75,7,9,3,"M_399_C2_2"
"C2","line_399",56,48,50,0,6,"M_399_C2_3"
"C2","line_399",59,34,50,0,7,"M_399_C2_4"
"C2","line_399",84,48,160,8,7,"M_399_C2_5"
"C2","line_399",55,75,58,20,8,"M_399_C2_6"
"C2","line_406",61,52,0,0,3,"M_406_C2_1"
"C2","line_406",72,30,0,0,5,"M_406_C2_2"
"C2","line_406",69,24,50,0,6,"M_406_C2_3"
"C2","line_406",78,17,50,0,8,"M_406_C2_4"
"C2","line_406",125,34,39,19,7,"M_406_C2_5"
"C2","line_406",83,20,46,6,7,"M_406_C2_6"
"C2","line_441",15,135,20,29,9,"M_441_C2_1"
"C2","line_441",29,33,50,48,6,"M_441_C2_2"
"C2","line_441",27,103,11,39,3,"M_441_C2_3"
"C2","line_441",58,47,18,3,8,"M_441_C2_4"
"C2","line_441",63,71,49,89,7,"M_441_C2_5"
"C2","line_441",31,35,95,44,8,"M_441_C2_6"
"C2","line_509",62,11,20,0,6,"M_509_C2_1"
"C2","line_509",63,45,32,2,5,"M_509_C2_2"
"C2","line_509",68,35,2,2,6,"M_509_C2_3"
"C2","line_509",47,15,89,6,8,"M_509_C2_4"
"C2","line_509",50,15,14,24,8,"M_509_C2_5"
"C2","line_509",76,31,63,27,8,"M_509_C2_6"
"C3","line_129",9,14,0,3,6,"M_129_C3_1"
"C3","line_129",30,46,0,34,8,"M_129_C3_2"
"C3","line_129",11,8,0,13,7,"M_129_C3_3"
"C3","line_129",6,11,4,28,7,"M_129_C3_4"
"C3","line_129",6,34,19,11,7,"M_129_C3_5"
"C3","line_129",5,43,4,29,5,"M_129_C3_6"
"C3","line_195",27,12,9,27,8,"M_195_C3_1"
"C3","line_195",30,28,21,13,3,"M_195_C3_2"
"C3","line_195",33,19,0,4,3,"M_195_C3_3"
"C3","line_195",24,37,4,19,4,"M_195_C3_4"
"C3","line_195",23,35,1,8,5,"M_195_C3_5"
"C3","line_195",13,8,4,11,6,"M_195_C3_6"
"C3","line_352",14,41,7,0,5,"M_352_C3_1"
"C3","line_352",4,21,21,0,1,"M_352_C3_2"
"C3","line_352",20,23,18,0,5,"M_352_C3_3"
"C3","line_352",5,28,4,1,7,"M_352_C3_4"
"C3","line_352",20,43,0,0,6,"M_352_C3_5"
"C3","line_352",13,28,4,7,7,"M_352_C3_6"
"C3","line_356",32,19,4,0,2,"M_356_C3_1"
"C3","line_356",33,35,9,15,6,"M_356_C3_2"
"C3","line_356",50,27,0,1,6,"M_356_C3_3"
"C3","line_356",15,15,0,50,0,"M_356_C3_4"
"C3","line_356",14,16,4,0,5,"M_356_C3_5"
"C3","line_356",42,35,0,0,4,"M_356_C3_6"
"C3","line_379",30,25,30,1,6,"M_379_C3_1"
"C3","line_379",47,41,5,0,6,"M_379_C3_2"
"C3","line_379",20,16,0,3,4,"M_379_C3_3"
"C3","line_379",13,42,1,6,8,"M_379_C3_4"
"C3","line_379",10,37,0,5,8,"M_379_C3_5"
"C3","line_379",17,26,1,18,10,"M_379_C3_6"
"C3","line_392",53,43,9,0,8,"M_392_C3_1"
"C3","line_392",28,11,10,0,3,"M_392_C3_2"
"C3","line_392",42,17,1,8,4,"M_392_C3_3"
"C3","line_392",6,29,0,0,6,"M_392_C3_4"
"C3","line_392",5,68,8,3,9,"M_392_C3_5"
"C3","line_392",26,10,50,0,6,"M_392_C3_6"
"C3","line_40",24,47,27,37,5,"M_40_C3_1"
"C3","line_40",7,18,3,2,5,"M_40_C3_2"
"C3","line_40",20,17,7,0,9,"M_40_C3_3"
"C3","line_40",9,27,23,5,5,"M_40_C3_4"
"C3","line_40",10,27,35,23,5,"M_40_C3_5"
"C3","line_40",5,32,2,0,9,"M_40_C3_6"
"C3","line_530",22,16,5,0,5,"M_530_C3_1"
"C3","line_530",9,17,50,12,5,"M_530_C3_2"
"C3","line_530",33,27,12,0,7,"M_530_C3_3"
"C3","line_530",21,18,50,0,2,"M_530_C3_4"
"C3","line_530",9,37,17,7,5,"M_530_C3_5"
"C3","line_530",17,11,7,6,8,"M_530_C3_6"
"C3","line_57",24,36,37,7,8,"M_57_C3_1"
"C3","line_57",29,41,11,17,3,"M_57_C3_2"
"C3","line_57",28,40,13,0,5,"M_57_C3_3"
"C3","line_57",8,14,8,34,5,"M_57_C3_4"
"C3","line_57",20,15,0,0,7,"M_57_C3_5"
"C3","line_57",17,39,8,5,6,"M_57_C3_6"
"C3","line_589",24,26,0,3,5,"M_589_C3_1"
"C3","line_589",39,43,8,5,5,"M_589_C3_2"
"C3","line_589",41,8,7,3,7,"M_589_C3_3"
"C3","line_589",15,32,20,18,6,"M_589_C3_4"
"C3","line_589",9,27,4,17,8,"M_589_C3_5"
"C3","line_589",16,22,19,0,6,"M_589_C3_6"
"C3","line_596",34,26,13,2,9,"M_596_C3_1"
"C3","line_596",22,20,25,8,9,"M_596_C3_2"
"C3","line_596",33,15,4,9,5,"M_596_C3_3"
"C3","line_596",11,22,5,0,6,"M_596_C3_4"
"C3","line_596",30,34,14,6,6,"M_596_C3_5"
"C3","line_596",15,16,8,1,8,"M_596_C3_6"
"C3","line_748",26,31,15,0,6,"M_748_C3_1"
"C3","line_748",29,33,4,23,7,"M_748_C3_2"
"C3","line_748",18,15,7,25,1,"M_748_C3_3"
"C3","line_748",9,42,8,2,6,"M_748_C3_4"
"C3","line_748",11,27,6,11,NA,"M_748_C3_5"
"C3","line_748",4,23,14,16,2,"M_748_C3_6"
"C3","line_790",25,23,0,0,6,"M_790_C3_1"
"C3","line_790",23,28,19,0,8,"M_790_C3_2"
"C3","line_790",51,30,12,0,8,"M_790_C3_3"
"C3","line_790",3,6,17,0,5,"M_790_C3_4"
"C3","line_790",32,31,19,6,9,"M_790_C3_5"
"C3","line_790",20,8,1,8,6,"M_790_C3_6"
"C3","line_801",26,12,3,11,3,"M_801_C3_1"
"C3","line_801",18,18,9,7,7,"M_801_C3_2"
"C3","line_801",23,21,0,13,5,"M_801_C3_3"
"C3","line_801",19,36,5,3,7,"M_801_C3_4"
"C3","line_801",30,29,3,0,8,"M_801_C3_5"
"C3","line_801",30,14,31,2,4,"M_801_C3_6"
"C3","line_804",35,20,50,0,8,"M_804_C3_1"
"C3","line_804",40,24,0,0,5,"M_804_C3_2"
"C3","line_804",22,10,1,5,9,"M_804_C3_3"
"C3","line_804",13,33,50,0,6,"M_804_C3_4"
"C3","line_804",35,18,15,0,5,"M_804_C3_5"
"C3","line_804",13,16,0,0,7,"M_804_C3_6"
"C3","line_820",6,2,52,0,7,"M_820_C3_1"
"C3","line_820",38,26,1,9,7,"M_820_C3_2"
"C3","line_820",14,17,68,12,7,"M_820_C3_3"
"C3","line_820",7,11,17,0,8,"M_820_C3_4"
"C3","line_820",7,35,3,18,8,"M_820_C3_5"
"C3","line_820",11,32,3,6,6,"M_820_C3_6"
"C3","line_850",12,3,2,1,6,"M_850_C3_1"
"C3","line_850",17,7,22,8,9,"M_850_C3_2"
"C3","line_850",7,7,1,5,7,"M_850_C3_3"
"C3","line_850",3,22,0,0,7,"M_850_C3_4"
"C3","line_850",3,14,0,0,9,"M_850_C3_5"
"C3","line_850",3,4,21,10,5,"M_850_C3_6"
"C3","line_900",33,21,3,29,7,"M_900_C3_1"
"C3","line_900",5,7,6,22,5,"M_900_C3_2"
"C3","line_900",10,11,0,12,10,"M_900_C3_3"
"C3","line_900",4,12,29,7,7,"M_900_C3_4"
"C3","line_900",4,47,7,11,7,"M_900_C3_5"
"C3","line_900",8,25,0,1,7,"M_900_C3_6"
"E1","line_109",51,32,39,37,9,"M_109_E1_1"
"E1","line_109",92,54,16,18,7,"M_109_E1_2"
"E1","line_109",54,21,19,8,10,"M_109_E1_3"
"E1","line_109",81,31,16,9,9,"M_109_E1_4"
"E1","line_109",65,79,37,24,9,"M_109_E1_5"
"E1","line_109",40,16,20,14,9,"M_109_E1_6"
"E1","line_158",119,32,36,27,6,"M_158_E1_1"
"E1","line_158",68,11,61,19,9,"M_158_E1_2"
"E1","line_158",148,33,99,48,9,"M_158_E1_3"
"E1","line_158",56,14,63,9,9,"M_158_E1_4"
"E1","line_158",115,18,58,14,8,"M_158_E1_5"
"E1","line_158",51,9,21,16,5,"M_158_E1_6"
"E1","line_161",92,24,36,8,9,"M_161_E1_1"
"E1","line_161",28,41,27,16,10,"M_161_E1_2"
"E1","line_161",54,30,37,19,5,"M_161_E1_3"
"E1","line_161",63,7,33,27,10,"M_161_E1_4"
"E1","line_161",69,14,41,13,8,"M_161_E1_5"
"E1","line_161",35,19,17,8,8,"M_161_E1_6"
"E1","line_309",43,33,75,28,7,"M_309_E1_1"
"E1","line_309",47,30,24,15,4,"M_309_E1_2"
"E1","line_309",58,0,18,5,9,"M_309_E1_3"
"E1","line_309",54,16,9,8,10,"M_309_E1_4"
"E1","line_309",52,15,20,4,10,"M_309_E1_5"
"E1","line_309",68,0,16,17,7,"M_309_E1_6"
"E1","line_319",70,7,23,16,8,"M_319_E1_1"
"E1","line_319",32,65,30,32,8,"M_319_E1_2"
"E1","line_319",44,4,40,28,9,"M_319_E1_3"
"E1","line_319",78,24,26,7,10,"M_319_E1_4"
"E1","line_319",109,32,27,3,9,"M_319_E1_5"
"E1","line_319",85,33,37,25,6,"M_319_E1_6"
"E1","line_32",33,12,26,14,10,"M_32_E1_1"
"E1","line_32",23,9,25,20,10,"M_32_E1_2"
"E1","line_32",39,17,48,28,7,"M_32_E1_3"
"E1","line_32",48,21,26,11,8,"M_32_E1_4"
"E1","line_32",64,35,38,15,8,"M_32_E1_5"
"E1","line_32",76,16,22,20,6,"M_32_E1_6"
"E1","line_352",47,20,11,7,9,"M_352_E1_1"
"E1","line_352",14,6,23,3,5,"M_352_E1_2"
"E1","line_352",60,9,0,0,0,"M_352_E1_3"
"E1","line_352",66,6,57,15,6,"M_352_E1_4"
"E1","line_352",66,66,11,14,10,"M_352_E1_5"
"E1","line_352",85,36,17,13,7,"M_352_E1_6"
"E1","line_397",73,10,21,22,10,"M_397_E1_1"
"E1","line_397",60,22,89,5,9,"M_397_E1_2"
"E1","line_397",64,12,22,0,8,"M_397_E1_3"
"E1","line_397",52,14,39,17,7,"M_397_E1_4"
"E1","line_397",58,12,51,12,11,"M_397_E1_5"
"E1","line_397",59,14,38,38,8,"M_397_E1_6"
"E1","line_461",82,22,38,7,8,"M_461_E1_1"
"E1","line_461",79,37,5,4,8,"M_461_E1_2"
"E1","line_461",83,11,50,7,7,"M_461_E1_3"
"E1","line_461",73,29,34,8,7,"M_461_E1_4"
"E1","line_461",55,15,42,12,5,"M_461_E1_5"
"E1","line_461",78,17,13,15,9,"M_461_E1_6"
"E1","line_911",22,44,29,4,8,"M_911_E1_1"
"E1","line_911",71,28,25,9,8,"M_911_E1_2"
"E1","line_911",56,37,38,31,9,"M_911_E1_3"
"E1","line_911",59,62,NA,NA,7,"M_911_E1_4"
"E1","line_911",24,35,NA,NA,6,"M_911_E1_5"
"E1","line_911",40,15,NA,NA,8,"M_911_E1_6"
