"block","line","early.male.rival","early.male.focal","num.GFP.males","num.DGRP.males","late.male.rival","late.male.focal","num.laying.F.early","female.fitness.early","num.F.late1","num.F.late2","female.fitness.late","male.fitness.early","male.fitness.late","male.fitness.total","female.fitness.total"
"C3","129",5,43,5,4,4,29,4,93,4,4,3,0.895833333333333,0.878787878787879,0.887310606060606,48
"A3","136",28,52,9,5,44,18,5,171,4,4,24,0.65,0.290322580645161,0.470161290322581,97.5
"A3","136",50,44,3,3,33,55,5,117,3,3,1,0.468085106382979,0.625,0.546542553191489,59
"A3","136",55,36,4,5,7,48,5,151,4,4,53,0.395604395604396,0.872727272727273,0.634165834165834,102
"A3","136",38,52,5,4,43,27,5,91,3,3,5,0.577777777777778,0.385714285714286,0.481746031746032,48
"A3","136",80,47,3,4,19,39,5,146,3,3,66,0.37007874015748,0.672413793103448,0.521246266630464,106
"A3","136",46,30,4,2,100,30,5,76,2,2,12,0.394736842105263,0.230769230769231,0.312753036437247,44
"C1","138",5,197,7,5,0,120,5,205,5,5,125,0.975247524752475,1,0.987623762376238,165
"C1","138",4,173,8,4,50,33,5,183,4,3,67,0.977401129943503,0.397590361445783,0.687495745694643,125
"C1","138",19,169,9,4,42,46,4,85,4,4,108,0.898936170212766,0.522727272727273,0.710831721470019,96.5
"C1","138",39,191,8,5,68,103,5,78,5,4,134,0.830434782608696,0.60233918128655,0.716386981947623,106
"C1","138",27,196,8,3,38,55,5,128,5,4,113,0.878923766816143,0.591397849462366,0.735160808139255,120.5
"C1","138",19,158,9,4,16,28,5,169,4,4,165,0.892655367231638,0.636363636363636,0.764509501797637,167
"A4","142",16,115,2,2,2,9,5,74,4,4,0,0.877862595419847,0.818181818181818,0.848022206800833,37
"A4","142",46,36,6,5,10,0,5,22,3,3,0,0.439024390243902,0,0.219512195121951,11
"A4","142",54,29,5,2,14,5,5,11,5,5,0,0.349397590361446,0.263157894736842,0.306277742549144,5.5
"A4","142",33,27,13,5,37,2,4,7,3,3,0,0.45,0.0512820512820513,0.250641025641026,3.5
"A4","142",16,25,1,2,0,0,5,12,5,4,0,0.609756097560976,NA,NA,6
"A4","142",21,25,7,4,28,2,5,18,4,5,0,0.543478260869565,0.0666666666666667,0.305072463768116,9
"C1","153",77,177,8,3,21,54,5,66,4,3,7,0.696850393700787,0.72,0.708425196850394,36.5
"C1","153",30,131,8,3,8,74,5,47,5,5,10,0.813664596273292,0.902439024390244,0.858051810331768,28.5
"C1","153",62,115,9,3,78,11,5,78,4,4,14,0.649717514124294,0.123595505617978,0.386656509871136,46
"C1","153",84,87,6,0,100,0,5,75,4,2,1,0.508771929824561,0,0.254385964912281,38
"C1","153",56,111,9,2,13,32,5,66,3,3,16,0.664670658682635,0.711111111111111,0.687890884896873,41
"C1","153",69,110,10,4,33,31,4,69,3,2,0,0.614525139664804,0.484375,0.549450069832402,34.5
"C1","176",117,64,7,3,48,20,5,58,3,1,1,0.353591160220994,0.294117647058824,0.323854403639909,29.5
"C1","176",43,105,5,0,100,0,5,81,1,1,0,0.709459459459459,0,0.35472972972973,40.5
"C1","176",79,26,9,1,42,1,5,43,0,0,NA,0.247619047619048,0.0232558139534884,0.135437430786268,NA
"C1","176",104,78,10,0,100,0,5,57,3,2,1,0.428571428571429,0,0.214285714285714,29
"C1","176",116,59,7,0,100,0,5,88,2,2,1,0.337142857142857,0,0.168571428571429,44.5
"C1","176",116,101,7,0,100,0,4,29,2,2,0,0.465437788018433,0,0.232718894009217,14.5
"A3","181",94,143,6,1,38,9,5,114,1,1,0,0.60337552742616,0.191489361702128,0.397432444564144,57
"A3","181",55,26,2,1,0,0,5,66,2,0,NA,0.320987654320988,NA,NA,NA
"A3","181",41,18,3,1,33,5,5,143,3,2,0,0.305084745762712,0.131578947368421,0.218331846565566,71.5
"A3","181",51,29,8,0,100,0,5,91,2,2,0,0.3625,0,0.18125,45.5
"A3","181",78,49,6,0,100,0,5,61,1,0,NA,0.385826771653543,0,0.192913385826772,NA
"A3","181",58,27,7,2,1,0,5,133,1,1,0,0.317647058823529,0,0.158823529411765,66.5
"C3","195",27,12,8,4,9,27,5,100,4,4,0,0.307692307692308,0.75,0.528846153846154,50
"C3","195",30,28,3,3,21,13,5,85,2,2,1,0.482758620689655,0.382352941176471,0.432555780933063,43
"C3","195",33,19,3,4,0,4,5,108,2,2,7,0.365384615384615,1,0.682692307692308,57.5
"C3","195",24,37,4,4,4,19,4,31,4,3,0,0.60655737704918,0.826086956521739,0.71632216678546,15.5
"C3","195",23,35,5,3,1,8,5,124,5,4,2,0.603448275862069,0.888888888888889,0.746168582375479,63
"C3","195",13,8,6,4,4,11,4,72,2,2,0,0.380952380952381,0.733333333333333,0.557142857142857,36
"C2","208",46,34,7,3,13,16,5,152,4,4,0,0.425,0.551724137931034,0.488362068965517,76
"C2","208",84,89,7,4,34,36,5,214,5,5,47,0.514450867052023,0.514285714285714,0.514368290668869,130.5
"C2","208",42,106,2,4,8,28,5,174,5,3,1,0.716216216216216,0.777777777777778,0.746996996996997,87.5
"C2","208",65,82,3,2,4,28,4,194,3,3,1,0.557823129251701,0.875,0.71641156462585,97.5
"C2","208",42,74,7,5,12,5,4,165,4,4,0,0.637931034482759,0.294117647058824,0.466024340770791,82.5
"C2","208",74,55,5,4,22,3,5,0,NA,NA,0,0.426356589147287,0.12,0.273178294573643,0
"C2","21",104,58,8,3,33,32,4,175,2,1,0,0.358024691358025,0.492307692307692,0.425166191832859,87.5
"C2","21",26,13,7,3,32,10,5,148,5,4,0,0.333333333333333,0.238095238095238,0.285714285714286,74
"C2","21",74,7,5,0,100,0,5,143,4,3,0,0.0864197530864197,0,0.0432098765432099,71.5
"C2","21",48,38,9,4,2,18,5,130,2,2,0,0.441860465116279,0.9,0.67093023255814,65
"C2","21",72,32,7,1,2,0,5,94,3,3,0,0.307692307692308,0,0.153846153846154,47
"C2","21",69,61,7,0,0,0,0,0,NA,NA,0,0.469230769230769,NA,NA,0
"C1","217",106,114,6,4,63,74,5,134,5,5,4,0.518181818181818,0.54014598540146,0.529163901791639,69
"C1","217",49,83,7,4,135,109,5,150,3,3,28,0.628787878787879,0.44672131147541,0.537754595131644,89
"C1","217",73,72,8,4,36,11,5,118,5,3,2,0.496551724137931,0.234042553191489,0.36529713866471,60
"C1","217",32,128,6,5,13,4,5,100,3,3,27,0.8,0.235294117647059,0.517647058823529,63.5
"C1","217",71,104,9,3,49,15,5,85,2,3,32,0.594285714285714,0.234375,0.414330357142857,58.5
"C1","217",44,151,10,4,20,41,5,116,5,3,6,0.774358974358974,0.672131147540984,0.723245060949979,61
"C2","228",140,15,4,1,7,1,5,183,5,4,3,0.0967741935483871,0.125,0.110887096774194,93
"C2","228",109,0,9,2,54,0,5,193,4,3,1,0,0,0,97
"C2","228",35,110,2,5,21,0,5,213,4,3,4,0.758620689655172,0,0.379310344827586,108.5
"C2","228",138,90,3,2,62,0,5,168,4,1,0,0.394736842105263,0,0.197368421052632,84
"C2","228",105,39,6,2,73,4,5,179,4,3,0,0.270833333333333,0.051948051948052,0.161390692640693,89.5
"C2","228",63,78,7,3,33,16,5,186,5,5,3,0.553191489361702,0.326530612244898,0.4398610508033,94.5
"C1","229",74,56,8,3,72,19,5,34,4,4,26,0.430769230769231,0.208791208791209,0.31978021978022,30
"C1","229",59,37,7,1,102,10,5,0,4,4,59,0.385416666666667,0.0892857142857143,0.23735119047619,29.5
"C1","229",84,92,8,3,59,7,5,84,4,4,48,0.522727272727273,0.106060606060606,0.314393939393939,66
"C1","229",69,146,10,1,42,30,5,76,1,1,27,0.67906976744186,0.416666666666667,0.547868217054264,51.5
"C1","229",89,33,8,3,30,16,4,76,4,5,10,0.270491803278689,0.347826086956522,0.309158945117605,43
"C1","229",76,52,9,4,48,60,4,90,3,NA,8,0.40625,0.555555555555556,0.480902777777778,49
"C2","235",31,65,6,1,11,0,4,257,4,4,50,0.677083333333333,0,0.338541666666667,153.5
"C2","235",54,48,3,1,17,35,5,222,4,4,3,0.470588235294118,0.673076923076923,0.57183257918552,112.5
"C2","235",90,66,6,5,32,21,5,145,4,4,40,0.423076923076923,0.39622641509434,0.409651669085631,92.5
"C2","235",39,90,4,2,35,66,5,247,5,3,4,0.697674418604651,0.653465346534653,0.675569882569652,125.5
"C2","235",81,87,6,4,34,21,5,63,4,4,1,0.517857142857143,0.381818181818182,0.449837662337662,32
"C2","235",48,82,7,4,37,56,5,195,4,4,6,0.630769230769231,0.602150537634409,0.61645988420182,100.5
"C2","237",58,51,8,4,2,23,5,190,4,4,35,0.467889908256881,0.92,0.69394495412844,112.5
"C2","237",48,43,6,5,13,3,5,194,4,3,142,0.472527472527473,0.1875,0.330013736263736,168
"C2","237",104,18,8,5,45,0,5,136,3,3,2,0.147540983606557,0,0.0737704918032787,69
"C2","237",107,51,6,1,37,27,5,249,5,5,1,0.322784810126582,0.421875,0.372329905063291,125
"C2","237",79,87,5,1,102,10,4,119,3,0,0,0.524096385542169,0.0892857142857143,0.306691049913941,59.5
"C2","237",19,74,7,4,133,43,5,159,5,4,0,0.795698924731183,0.244318181818182,0.520008553274682,79.5
"C2","239",84,26,6,0,100,0,5,104,3,3,12,0.236363636363636,0,0.118181818181818,58
"C2","239",118,50,7,1,47,1,3,79,2,1,9,0.297619047619048,0.0208333333333333,0.15922619047619,44
"C2","239",111,46,5,1,57,0,5,83,2,2,0,0.292993630573248,0,0.146496815286624,41.5
