"block","replicate","line","num.laying.F.early","female.fitness.early","female.fitness.late","num.F.late1","num.F.late2"
"A3","11-2","91",4,74,0,3,3
"A3","11-3","91",5,50,1,5,5
"A3","11-4","91",5,83,0,4,4
"A3","11-5","91",5,62,0,4,4
"A3","11-6","91",5,61,0,3,3
"B2","17-1","913",5,298,194,5,5
"B2","17-2","913",5,126,116,5,5
"B2","17-3","913",5,248,40,3,3
"B2","17-4","913",4,198,89,4,4
"B2","17-5","913",5,124,67,4,4
"B2","17-6","913",5,232,193,5,5
"B3","13-1","93",4,133,3,4,4
"B3","13-2","93",5,171,54,4,4
"B3","13-3","93",5,173,10,5,5
"B3","13-4","93",4,160,35,4,3
"B3","13-5","93",5,195,12,4,4
"B3","13-6","93",5,195,13,5,5
