"block","line","female.fitness.early","female.fitness.late","vial"
"C3","line_804",82,1,"F_804_C3_3"
"C3","line_804",53,0,"F_804_C3_4"
"C3","line_804",81,0,"F_804_C3_5"
"C3","line_804",137,0,"F_804_C3_6"
"C3","line_820",141,13,"F_820_C3_1"
"C3","line_820",239,14,"F_820_C3_2"
"C3","line_820",138,0,"F_820_C3_3"
"C3","line_820",175,27,"F_820_C3_4"
"C3","line_820",168,24,"F_820_C3_5"
"C3","line_820",183,20,"F_820_C3_6"
"C3","line_850",113,2,"F_850_C3_1"
"C3","line_850",124,0,"F_850_C3_2"
"C3","line_850",113,0,"F_850_C3_3"
"C3","line_850",83,1,"F_850_C3_4"
"C3","line_850",106,0,"F_850_C3_5"
"C3","line_850",105,5,"F_850_C3_6"
"C3","line_900",174,50,"F_900_C3_1"
"C3","line_900",236,52,"F_900_C3_2"
"C3","line_900",165,18,"F_900_C3_3"
"C3","line_900",141,10,"F_900_C3_4"
"C3","line_900",144,23,"F_900_C3_5"
"C3","line_900",140,134,"F_900_C3_6"
"E1","line_109",233,14,"F_109_E1_1"
"E1","line_109",194,6,"F_109_E1_2"
"E1","line_109",251,34,"F_109_E1_3"
"E1","line_109",225,24,"F_109_E1_4"
"E1","line_109",257,0,"F_109_E1_5"
"E1","line_109",236,29,"F_109_E1_6"
"E1","line_158",75,6,"F_158_E1_1"
"E1","line_158",75,1,"F_158_E1_2"
"E1","line_158",126,8,"F_158_E1_3"
"E1","line_158",110,2,"F_158_E1_4"
"E1","line_158",80,1,"F_158_E1_5"
"E1","line_158",55,1,"F_158_E1_6"
"E1","line_161",236,41,"F_161_E1_1"
"E1","line_161",287,53,"F_161_E1_2"
"E1","line_161",267,1,"F_161_E1_3"
"E1","line_161",172,71,"F_161_E1_4"
"E1","line_161",102,11,"F_161_E1_5"
"E1","line_161",252,38,"F_161_E1_6"
"E1","line_309",204,8,"F_309_E1_1"
"E1","line_309",212,34,"F_309_E1_2"
"E1","line_309",149,0,"F_309_E1_3"
"E1","line_309",104,0,"F_309_E1_4"
"E1","line_309",192,10,"F_309_E1_5"
"E1","line_309",40,10,"F_309_E1_6"
"E1","line_319",108,1,"F_319_E1_1"
"E1","line_319",200,3,"F_319_E1_2"
"E1","line_319",183,10,"F_319_E1_3"
"E1","line_319",139,1,"F_319_E1_4"
"E1","line_319",173,13,"F_319_E1_5"
"E1","line_319",185,19,"F_319_E1_6"
"E1","line_32",175,0,"F_32_E1_1"
"E1","line_32",154,14,"F_32_E1_2"
"E1","line_32",163,9,"F_32_E1_3"
"E1","line_32",128,6,"F_32_E1_4"
"E1","line_32",165,1,"F_32_E1_5"
"E1","line_32",117,8,"F_32_E1_6"
"E1","line_352",137,0,"F_352_E1_1"
"E1","line_352",12,4,"F_352_E1_2"
"E1","line_352",72,0,"F_352_E1_3"
"E1","line_352",17,0,"F_352_E1_4"
"E1","line_352",123,0,"F_352_E1_5"
"E1","line_352",121,10,"F_352_E1_6"
"E1","line_354",27,0,"F_354_E1_1"
"E1","line_354",165,0,"F_354_E1_2"
"E1","line_354",123,0,"F_354_E1_3"
"E1","line_354",120,0,"F_354_E1_4"
"E1","line_354",57,0,"F_354_E1_5"
"E1","line_354",68,0,"F_354_E1_6"
"E1","line_397",4,0,"F_397_E1_1"
"E1","line_397",6,0,"F_397_E1_2"
"E1","line_397",3,0,"F_397_E1_3"
"E1","line_397",10,0,"F_397_E1_4"
"E1","line_397",10,0,"F_397_E1_5"
"E1","line_397",2,0,"F_397_E1_6"
"E1","line_461",201,5,"F_461_E1_1"
"E1","line_461",56,40,"F_461_E1_2"
"E1","line_461",26,10,"F_461_E1_3"
"E1","line_461",99,0,"F_461_E1_4"
"E1","line_461",38,11,"F_461_E1_5"
"E1","line_461",80,19,"F_461_E1_6"
"E1","line_911",160,10,"F_911_E1_1"
"E1","line_911",162,8,"F_911_E1_2"
"E1","line_911",248,0,"F_911_E1_3"
"E1","line_911",155,0,"F_911_E1_4"
"E1","line_911",169,38,"F_911_E1_5"
"E1","line_911",140,11,"F_911_E1_6"
