block,line,early.male.rival,early.male.focal,late.male.rival,late.male.focal,num.GFP.males,num.DGRP.males
C2,313,68,69,12,125,3,4
C2,313,75,37,5,23,4,3
C2,313,85,79,11,37,6,2
C2,313,51,54,166,56,8,4
B3,320,37,97,1,0,4,4
B3,320,27,56,9,0,6,4
B3,320,57,95,2,0,4,2
B3,320,56,29,28,1,7,3
B3,320,30,67,0,0,4,2
B3,320,27,16,72,30,7,4
A3,321,48,38,0,0,2,1
A3,321,32,42,24,0,4,2
A3,321,49,37,35,20,4,2
A3,321,33,43,80,10,6,2
A3,321,44,25,53,26,8,2
A3,321,131,23,101,5,5,1
C2,324,43,72,19,9,5,4
C2,324,72,58,33,8,6,3
C2,324,27,104,4,26,2,2
C2,324,35,69,44,35,4,5
C2,324,42,58,8,35,7,3
C2,324,39,55,21,139,5,4
A4,332,31,4,9,3,7,5
A4,332,52,21,0,2,9,4
A4,332,17,24,8,4,8,3
A4,332,31,9,0,0,10,4
A4,332,18,20,0,0,9,4
A4,332,7,4,3,0,8,1
A3,338,24,50,7,10,9,3
A3,338,22,17,77,25,9,3
A3,338,39,27,4,23,9,4
A3,338,25,33,43,7,8,1
A3,338,48,50,0,28,6,4
A3,338,35,47,38,3,5,1
A3,350,58,53,12,1,5,1
A3,350,32,56,44,0,3,1
A3,350,44,43,3,10,2,2
A3,350,32,54,47,23,8,2
A3,350,59,13,17,13,2,3
A3,350,54,40,28,36,4,4
C3,356,32,19,4,0,2,3
C3,356,33,35,9,15,6,3
C3,356,50,27,0,1,6,5
C3,356,15,15,0,50,0,2
C3,356,14,16,4,0,5,2
C3,356,42,35,0,0,4,1
A4,357,31,38,50,0,5,0
A4,357,36,20,0,1,6,1
A4,357,24,37,1,1,8,2
A4,357,37,26,5,1,7,3
A4,357,6,1,19,0,6,2
A4,357,19,4,0,0,9,4
A2,360,105,76,96,97,10,1
A2,360,146,9,89,80,7,3
A2,360,51,46,50,0,7,0
A2,360,77,64,50,0,7,0
A2,360,82,71,101,78,7,2
A2,360,56,68,152,85,7,2
A2,361,81,75,44,105,8,4
A2,361,159,38,48,109,8,4
A2,361,28,52,28,110,2,3
A2,361,46,27,50,0,7,0
A2,361,23,115,52,98,9,5
A2,361,24,26,66,128,8,5
B3,361,60,31,1,0,4,3
B3,361,60,12,0,0,5,3
B3,361,45,26,0,1,9,4
B3,361,61,50,3,0,6,3
B3,361,60,18,11,0,5,3
B3,361,28,32,40,21,7,3
A4,362,0,17,16,11,8,5
A4,362,0,42,13,6,4,3
A4,362,9,7,7,19,9,5
A4,362,8,41,12,0,8,3
A4,362,9,22,3,1,8,5
A4,362,19,9,5,17,9,5
A3,367,71,4,41,0,7,1
A3,367,81,20,20,0,4,1
A3,367,95,14,41,0,3,1
A3,367,38,17,47,6,6,2
A3,367,79,16,34,0,7,1
A3,367,32,9,22,13,7,3
A2,370,24,157,71,140,5,4
A2,370,59,120,50,0,7,0
A2,370,0,4,66,39,6,1
A2,370,30,74,20,71,3,1
A2,370,84,99,94,118,7,1
A2,370,77,129,50,0,6,0
A4,371,5,24,0,0,4,3
A4,371,13,31,2,0,9,5
A4,371,7,25,8,0,7,1
A4,371,2,22,2,2,7,4
A4,371,11,66,3,1,9,3
A4,371,2,17,0,0,3,4
C2,373,49,61,0,0,5,2
C2,373,93,40,0,3,5,3
C2,373,115,27,42,0,6,2
C2,373,105,74,76,2,6,4
C2,373,78,28,12,0,6,3
C2,373,73,28,81,6,4,2
C2,375,69,33,7,1,6,2
C2,375,81,93,0,0,7,1
C2,375,80,66,5,2,3,4
C2,375,73,75,41,7,6,4
C2,375,71,81,87,51,5,3
C2,375,26,83,21,44,8,5
C3,379,30,25,30,1,6,3
C3,379,47,41,5,0,6,2
C3,379,20,16,0,3,4,3
C3,379,13,42,1,6,8,3
C3,379,10,37,0,5,8,1
C3,379,17,26,1,18,10,3
A2,380,64,42,58,128,9,2
A2,380,65,73,86,51,7,5
A2,380,22,120,45,145,9,5
A2,380,54,100,26,100,8,3
A2,380,16,120,47,121,5,5
A2,380,62,54,113,167,9,2
B3,382,54,42,0,0,6,2
B3,382,28,47,4,0,4,3
B3,382,51,43,4,14,6,4
B3,382,25,27,6,1,7,4
B3,382,43,40,0,2,7,4
B3,382,69,33,3,16,4,3
A4,383,39,28,29,12,10,4
A4,383,43,48,50,0,9,0
A4,383,7,30,26,32,8,5
A4,383,19,14,10,5,8,4
A4,383,9,24,30,3,7,5
A4,383,6,36,28,2,8,3
A2,385,106,73,50,0,5,0
A2,385,79,79,140,44,4,5
A2,385,88,74,122,37,6,1
A2,385,77,73,51,76,6,5
A2,385,99,58,50,0,1,0
A2,385,88,33,71,97,6,3
A2,391,139,41,99,51,8,4
A2,391,67,42,50,0,7,0
A2,391,126,75,125,57,9,2
A2,391,81,83,96,46,4,2
A2,391,16,37,48,105,6,4
A2,391,104,97,11,55,6,3
C3,392,53,43,9,0,8,1
C3,392,28,11,10,0,3,1
C3,392,42,17,1,8,4,1
C3,392,6,29,0,0,6,1
C3,392,5,68,8,3,9,1
C3,392,26,10,50,0,6,0
A4,395,28,72,7,16,10,4
A4,395,0,69,11,15,7,3
A4,395,6,16,6,3,8,4
A4,395,33,53,7,18,4,4
A4,395,50,39,6,10,9,3
A4,395,17,32,1,4,8,4
C2,399,42,88,32,3,7,2
C2,399,34,75,7,9,3,1
C2,399,56,48,50,0,6,0
C2,399,59,34,50,0,7,0
C2,399,84,48,160,8,7,1
C2,399,55,75,58,20,8,3
C3,40,24,47,27,37,5,2
C3,40,7,18,3,2,5,4
C3,40,20,17,7,0,9,4
C3,40,9,27,23,5,5,3
C3,40,10,27,35,23,5,4
C3,40,5,32,2,0,9,5
C1,405,21,126,74,33,6,3
C1,405,93,135,90,9,8,2
C1,405,21,123,0,0,9,4
C1,405,19,94,8,6,9,3
C1,405,24,107,75,19,8,2
C1,405,58,137,16,44,10,5
C2,406,61,52,0,0,3,1
C2,406,72,30,0,0,5,1
C2,406,69,24,50,0,6,0
C2,406,78,17,50,0,8,0
C2,406,125,34,39,19,7,1
C2,406,83,20,46,6,7,1
B2,427,200,0,50,0,5,0
B2,427,68,117,74,5,4,2
B2,427,125,40,58,54,4,3
B2,427,44,138,57,74,7,2
B2,427,74,82,96,65,5,4
B2,427,97,72,75,67,7,4
A3,437,85,17,50,0,5,0
A3,437,22,45,36,6,6,2
A3,437,52,73,29,18,5,2
A3,437,66,59,41,27,3,2
A3,437,38,48,0,46,3,4
A3,437,84,12,46,0,4,2
A4,439,22,57,1,0,4,4
A4,439,9,15,1,0,1,1
A4,439,33,10,0,0,9,1
A4,439,5,33,0,0,7,1
A4,439,16,17,3,1,7,2
A4,439,16,13,27,0,10,4
C1,440,27,164,34,58,8,4
C1,440,19,83,100,50,8,3
C1,440,41,137,49,69,9,3
C1,440,36,176,46,39,10,3
C1,440,44,124,13,131,6,5
C1,440,36,156,9,95,8,3
C2,441,15,135,20,29,9,4
C2,441,29,33,50,48,6,4
C2,441,27,103,11,39,3,4
C2,441,58,47,18,3,8,3
C2,441,63,71,49,89,7,5
C2,441,31,35,95,44,8,5
A3,443,49,63,0,6,1,1
A3,443,69,60,78,6,6,2
A3,443,53,56,3,15,3,4
A3,443,61,38,50,0,6,0
A3,443,60,37,65,3,5,1
A3,443,34,37,6,15,3,2
C1,45,89,72,63,2,9,4
C1,45,92,119,52,12,9,5
C1,45,115,83,90,5,7,5
C1,45,72,113,86,0,10,5
C1,45,47,146,52,4,10,5
C1,45,42,169,28,4,8,5
C1,486,42,117,31,77,9,5
C1,486,53,84,8,59,8,3
C1,486,21,101,37,20,10,4
C1,486,39,63,11,44,8,4
C1,486,2,104,1,31,8,5
C1,486,15,231,4,36,7,5
A2,491,61,108,25,99,2,5
